song_name,tempo,time_signature,instruments,key_signature,label
peri_op,120.00768049155145,4/4,Piano;Flute;Trumpet;Organ;Other;Organ;Other;Other;Organ;Other;Voice;Other;Flute,C,Tavern
Pokemon GoldSilverCrystal - Violet CityOlivine City,116.95245298024088,4/4,Piano,B,Tavern
ravens,75.99996960001216,4/4,Flute;Flute;Flute;Flute;Flute;Flute;Flute;Flute;Flute,C,Tavern
saltp13,120.0,2/4,Guitar;Guitar;Guitar;Guitar,C,Tavern
scottune,204.9999487500128,4/4,Guitar;Guitar,D,Tavern
shenmue_beautiful_china_country_shop,100.0,4/4,Bells;Bells;Bells,Eb,Tavern
Super Mario RPG - Marrymore,200.0,3/4,Piano,Ab,Tavern
The Legend of Zelda Majoras Mask - Milk Bar,143.9639514265628,4/4,Piano,Gm,Tavern
The Legend of Zelda Oracle of Ages  Oracle of Seasons - Dins Dance,124.9802114665178,4/4,Piano,C,Tavern
The Legend of Zelda Oracle of Ages  Oracle of Seasons - Skull Pirates,164.9997112505053,4/4,Piano,Am,Tavern
The Legend of Zelda Phantom Hourglass - Inside a Gorons House,99.96051559633945,4/4,Piano,F,Tavern
The_Inn,59.00000885000133,4/4,Other;Flute;Flute,Unknown,Tavern
Title_Screen,224.99971875035158,4/4,Unknown;Bells;Voice;Trumpet;Other;Trumpet;Trumpet;Reeds;Bass;Bells;Reeds;Guitar;Guitar;Trumpet;Guitar;Unknown;Bells;Trumpet,C,Tavern
trotto,150.0,6/8,Guitar;Guitar,G,Tavern
twinsanity-theme,115.00002875000719,4/4,Trumpet;Voice;Other;Other;Guitar;Unknown;Bass;Trumpet;Voice;Trumpet;Voice;Trumpet;Other;Other,Unknown,Tavern
Undertale_-_Sans,128.0,4/4,Unknown;Unknown;Unknown;Unknown;Reeds;Trumpet;Bass;Unknown;Piano,C,Tavern
Utena - Nemuro Memorial Hall,139.97988955586715,4/4,Piano,Am,Tavern
(Meriadoc Took) Tavern Beat,83.0000650167176,4/4,Piano,G,Boss
01rock,154.99990958338608,4/4,Piano;Bass;Guitar;Trumpet;Trumpet;Trumpet;Unknown;Guitar;Unknown,Unknown,Boss
a,120.0,4/4,Guitar;Reeds;Other;Voice;Bass;Guitar;Trumpet;Other;Flute;Reeds;Guitar;Trumpet;Bass;Other;Flute;Reeds;Guitar;Bass;Trumpet;Bass,Unknown,Boss
all-star-games-1-12,200.0,4/4,Unknown;Guitar;Organ;Trumpet;Bass;Organ;Bells;Trumpet;Other;Voice;Other;Flute,C,Boss
Assault,176.00004693334586,3/4,Piano;Voice;Voice;Voice;Trumpet;Voice;Voice;Voice;Piano;Piano;Unknown;Voice;Voice;Unknown;Trumpet;Piano,C,Boss
Attack on Titan - Jiyuu no Tsubasa,157.00024858372691,4/4,Piano,C,Boss
Axelrepeat2,180.00018000018,4/4,Trumpet;Trumpet;Trumpet;Trumpet;Bells;Piano;Piano;Organ;Voice;Voice;Voice;Unknown;Unknown;Unknown;Violin;Violin;Violin;Voice;Voice,Gm,Boss
battle-with-mother-brain-arranged-,80.0,Unknown,Other;Other,C,Boss
battle-with-mother-brain,145.00003625000906,4/4,Violin;Bass;Violin;Violin,C,Boss
battle-with-shadow-queen-true-form,140.00014000014,4/4,Organ;Organ;Violin;Violin;Voice;Voice;Voice;Voice;Voice;Voice;Organ;Guitar;Other;Organ;Organ;Guitar;Other;Organ;Trumpet;Trumpet;Guitar;Guitar;Voice;Voice;Other;Other;Bass;Bass;Trumpet;Trumpet;Other;Trumpet;Trumpet;Trumpet;Other;Trumpet;Other;Other;Flute;Voice;Flute;Voice;Organ;Violin;Organ;Violin;Organ;Organ;Other;Other;Unknown;Unknown,Unknown,Boss
beyond-the-time,108.000108000108,4/4,Bells;Unknown;Unknown;Guitar;Voice;Reeds;Guitar;Bells;Guitar;Guitar;Piano;Piano;Voice;Piano;Voice;Piano;Voice;Other;Voice;Piano;Voice;Voice;Voice;Guitar;Guitar;Guitar;Piano;Other;Bells;Other;Bells;Other;Organ;Other;Organ;Other;Organ;Flute;Other;Other,Unknown,Boss
blood-relations,142.0000710000355,4/4,Unknown;Bass;Flute;Voice;Other;Other;Voice;Violin;Voice;Piano;Other;Other;Trumpet;Other;Unknown,Unknown,Boss
blue-traveler,130.00013000013,4/4,Trumpet;Bells;Trumpet;Voice;Piano;Voice;Bass;Violin;Bass;Violin;Bass;Unknown;Piano;Voice;Violin;Flute;Violin;Flute;Trumpet,Unknown,Boss
boss-battle (1),100.0,4/4,Trumpet;Flute;Voice;Guitar;Piano;Bass;Other;Other;Voice;Other;Voice,Unknown,Boss
boss-battle,159.0002067002687,4/4,Piano;Bass;Piano;Bass;Piano;Other;Piano;Reeds;Reeds;Piano;Organ;Piano;Voice;Piano;Voice;Piano;Voice;Voice;Piano;Piano,D,Boss
boss,154.000154000154,4/4,Bass;Trumpet;Trumpet;Guitar;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano,C,Boss
Bottles_Puzzle,183.0004758012371,4/4,Bells;Bells;Other;Piano;Piano,Unknown,Boss
Cave Story Doukutsu Monogatari - Last Battle,179.99964000072,4/4,Piano;Piano,Cm,Boss
Cave Story Doukutsu Monogatari - Last Cave,129.96014555536303,4/4,Piano,Em,Boss
crystal-king-battle-freeze-,140.00014000014,4/4,Bass;Bass;Other;Other;Other;Other;Other;Other;Flute;Flute;Bells;Bells;Other;Other;Piano,Unknown,Boss
CV64FinalCerberus,150.0,Unknown,Voice;Other;Unknown;Other;Piano,C,Boss
CVLoD-_WatchTower2,76.00006586672374,4/4,Other;Other;Violin;Violin;Voice;Other;Other;Other;Other;Violin;Violin;Other;Other;Organ;Organ;Other;Other;Organ;Organ;Voice;Voice;Voice;Other;Voice;Voice;Voice;Voice;Other;Voice;Piano;Organ;Piano;Organ;Other;Other;Organ;Organ;Other;Other;Piano;Organ;Piano;Organ;Other;Other;Organ;Organ;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Voice;Other;Voice;Voice;Voice;Voice;Other;Voice;Piano;Organ;Piano;Organ;Other;Other;Organ;Organ;Other;Other;Piano;Organ;Piano;Organ;Other;Other;Organ;Organ;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Voice;Other;Voice;Voice;Voice;Voice;Other;Voice;Piano;Organ;Piano;Organ;Other;Other;Organ;Organ;Other;Other;Piano;Organ;Piano;Organ;Other;Other;Organ;Organ;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Voice;Voice;Other;Unknown;Other;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice,Unknown,Boss
cvs_06_draculas_castle2,137.99987580011177,4/4,Trumpet;Bass;Voice;Voice;Reeds;Trumpet;Bells;Bells;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Other;Trumpet;Organ;Guitar;Flute;Other,C,Boss
devil_gs,124.40286624203821,4/4,Guitar;Flute;Trumpet;Reeds;Trumpet;Trumpet;Trumpet;Trumpet;Unknown;Bells;Voice;Voice;Bass;Voice,C,Boss
Diddy Kong Racing - Haunted Woods,127.96805917243056,4/4,Piano,Bb,Boss
Donkey Kong Land - Boss Battle,129.96014555536303,4/4,Piano,F,Boss
doopliss-battle-remix-,145.00003625000906,Unknown,Guitar;Guitar;Guitar;Unknown;Bells;Bells;Bells;Organ;Guitar;Other;Voice;Unknown;Other;Voice;Organ,Unknown,Boss
Dragon Ball - Mysterious Adventure,145.01160092807424,4/4,Piano;Piano;Bass;Piano;Voice;Piano;Bass;Unknown;Violin;Guitar;Bells;Bells;Bells;Bells;Piano;Voice;Piano;Trumpet;Trumpet;Trumpet;Piano;Guitar;Piano;Bass;Piano;Guitar;Unknown;Violin;Organ;Bells;Unknown;Bells;Violin;Piano;Bass;Piano;Bells;Bells;Bells,C,Boss
Dragon Quest V Hand of the Heavenly Bride - The Almighty Boss Devil Is Challenged,53.964259470952385,4/4,Piano;Piano;Piano;Piano,Eb,Boss
DS2morrigan,134.00005806669182,4/4,Piano;Piano;Piano;Other;Voice;Voice;Piano;Piano;Piano;Guitar;Other,Unknown,Boss
dx-wall,117.99990166674861,3/4,Violin;Voice;Voice;Reeds;Voice;Violin;Trumpet;Voice,C,Boss
EarthBound - The Battle of Final Destiny,130.00013000013,4/4,Piano,Am,Boss
End_of_the_World_Battle,82.00003553334874,4/4,Voice;Voice;Voice;Voice;Voice;Voice;Violin;Violin;Unknown;Unknown;Trumpet;Trumpet;Flute;Flute;Unknown;Unknown;Flute;Flute;Reeds;Reeds;Other;Other,C,Boss
Final Fantasy IV - Boss Battle,169.97985738689965,4/4,Piano,Cm,Boss
Final Fantasy IX - Boss Battle,159.96075629445576,4/4,Piano,Db,Boss
Final Fantasy VI - The Decisive Battle Boss Battle,119.99928000431997,4/4,Piano,Am,Boss
giygas-battle,Unknown,4/4,Guitar;Guitar;Guitar;Guitar;Bass,Unknown,Boss
Goldeneye64_DisusedMilitaryDepot,135.000135000135,4/4,Bells;Voice;Trumpet;Unknown;Voice;Piano,Unknown,Boss
halo_theme_v2,120.0,4/4,Voice;Voice;Voice;Voice;Violin;Violin;Voice;Voice;Unknown;Unknown;Voice;Voice,D,Boss
HammerFall - Legacy Of Kings,138.00019320027047,4/4,Guitar;Guitar;Guitar;Guitar;Bass;Bass;Piano,Unknown,Boss
Haunted Castle - Cross Your Heart,120.0,4/4,Piano,C,Boss
hoshi,135.00378010584296,4/4,Organ;Voice;Guitar;Voice;Guitar;Voice;Guitar;Voice;Guitar;Voice;Guitar;Voice;Voice;Violin;Bass;Piano;Voice;Guitar;Piano;Voice;Guitar;Piano;Voice;Guitar;Piano;Voice;Guitar;Piano;Piano;Unknown;Trumpet;Piano;Piano;Unknown;Trumpet;Unknown;Piano;Unknown;Trumpet;Trumpet;Piano;Unknown;Trumpet;Trumpet;Other;Piano;Unknown;Other;Piano;Unknown;Unknown;Unknown;Other;Unknown;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Voice;Trumpet;Voice;Trumpet;Voice;Trumpet;Voice;Trumpet;Other;Voice;Other;Voice;Other;Voice;Voice;Voice;Voice;Other;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice,Dm,Boss
into-the-dungeon,Unknown,3/4,Flute;Reeds;Unknown;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Violin;Violin;Violin;Violin;Violin;Bass;Unknown,Eb,Boss
In_the_arms_of_death,120.0,Unknown,Piano;Guitar;Guitar;Guitar;Voice;Guitar;Other;Voice;Other;Voice;Other;Other;Voice;Guitar,C,Boss
it_can_waver_and_fight,150.0,4/4,Unknown;Voice;Bass;Bells;Organ;Bells;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano,C,Boss
Kakegurui Opening - Deal With The Devil_fix.mid,142.0000710000355,4/4,Piano;Piano,Unknown,Boss
Kingdom Hearts - Night of Fate,170.0000850000425,5/4,Piano,B,Boss
Kirby 64 The Crystal Shards - Boss,160.0,4/4,Piano,Gm,Boss
kratos,120.0,Unknown,Flute;Flute;Voice;Voice;Voice;Voice;Guitar;Guitar;Bass;Bass;Piano,Unknown,Boss
LyricWulf - Through the Fire and Flames,200.0,4/4,Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano,Unknown,Boss
MGS3--Main_Theme,156.000156000156,Unknown,Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Voice;Voice;Voice;Voice;Voice;Voice;Bass;Bass;Bass;Bass;Bass;Bass,Unknown,Boss
MP_MainMenu,175.00007291669704,Unknown,Voice;Voice;Other;Unknown;Voice;Flute;Voice;Other;Organ;Piano;Other;Organ;Unknown,Unknown,Boss
One Piece - Run! Run! Run!,200.0,4/4,Piano;Piano,Unknown,Boss
pair_gm,93.00595238095238,4/4,Bass;Trumpet;Trumpet;Guitar;Trumpet;Trumpet;Guitar;Trumpet;Trumpet;Unknown;Flute;Trumpet;Voice;Flute;Trumpet;Guitar;Other;Other;Voice;Unknown;Other;Piano;Trumpet;Violin;Trumpet,Bbm,Boss
Perturbator - Miami Disco (Hotline Miami OST),120.0,4/4,Piano;Bass;Voice;Other;Bass;Bells,Unknown,Boss
PKMN_ST_Mewtwo_Battle,160.0,4/4,Voice;Unknown;Trumpet;Flute;Trumpet;Organ;Bass;Voice;Bass;Guitar;Violin;Reeds,Unknown,Boss
PMTTYD-chap3boss,Unknown,4/4,Guitar;Piano;Organ;Other;Trumpet;Organ;Organ;Guitar;Unknown;Flute,Unknown,Boss
PS2__Shadow_of_the_Colossus__Grotesque_Figures,127.00025400050801,4/4,Flute;Unknown;Trumpet;Trumpet;Unknown;Piano;Voice;Voice;Trumpet;Voice;Other;Voice,C,Boss
sephiroth-deluxe-remix-,75.0,4/4,Piano;Bells;Piano;Piano;Voice;Voice;Piano;Voice;Piano;Voice;Piano;Violin;Piano;Other;Piano;Other;Other,C,Boss
sm64Boss,172.00010320006191,4/4,Trumpet;Trumpet;Organ;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice,Em,Boss
Super Mario Sunshine - Boss Battle,190.0002850004275,4/4,Piano;Piano;Piano,Unknown,Boss
Super Smash Bros Brawl - Bramble Blast,159.96075629445576,4/4,Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano,Bm,Boss
The Legend of Zelda A Link Between Worlds - Thieves Hideout,89.99968500110249,4/4,Piano;Piano,Cm,Boss
The Legend of Zelda A Link to the Past - Boss Battle,191.95208875864583,4/4,Piano,C,Boss
The Legend of Zelda A Link to the Past - Dark World Dungeon,139.97988955586715,4/4,Piano;Piano,C,Boss
The Legend of Zelda Majoras Mask - Alien Invasion,119.99928000431997,4/4,Piano,C,Boss
The Legend of Zelda Majoras Mask - Boss Battle,159.96075629445576,7/4,Piano,C,Boss
The Legend of Zelda Ocarina of Time - Boss Battle,89.99968500110249,3/4,Piano,C,Boss
The Legend of Zelda Oracle of Ages  Oracle of Seasons - Boss,147.0000955500621,4/4,Piano,Em,Boss
The Witcher 3 - Hunt or Be Hunted,104.00019413369571,6/8,Piano,Dm,Boss
tubba-blubba-battle,120.0,4/4,Organ;Reeds;Voice;Trumpet;Piano,C,Boss
turmoil,65.000065000065,9/8,Trumpet;Trumpet;Voice;Trumpet;Trumpet;Trumpet;Flute;Voice;Voice;Piano;Bass;Violin;Guitar;Bells,Cm,Boss
Twilight-Princess-Dark_Lord_Ganondorf,180.00018000018,Unknown,Trumpet;Trumpet;Voice;Voice;Trumpet;Trumpet;Other;Other;Other;Other;Bells;Trumpet;Voice;Organ;Other;Voice;Trumpet;Trumpet,C,Boss
Two_to_Tango_Pt2,140.00014000014,Unknown,Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Other;Other;Other;Other;Other;Other;Bass;Bass;Bass;Bass;Bass;Bass;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Guitar;Guitar;Guitar;Guitar;Guitar;Guitar;Organ;Organ;Organ;Organ;Organ;Organ,Unknown,Boss
xkyCrash,120.0,4/4,Bells;Bass;Bells;Unknown;Bells;Other,Unknown,Boss
Yoshis Story - Boss Fight,120.0,4/4,Piano;Piano,C,Boss
Ballade-in-G-Nr.1,120.0,4/4,Piano,Unknown,Sad
Beethoven-Moonlight-Sonata,25.0,4/4,Piano;Piano,C,Sad
Bleach - Never Meant to Belong,63.000063000063,4/4,Piano;Piano;Violin,C,Sad
bt_orch_medley,142.12014837343492,4/4,Bells;Voice;Unknown;Voice;Trumpet;Piano;Trumpet;Trumpet;Voice;Reeds;Violin;Unknown;Violin;Bells;Voice;Trumpet;Flute,C,Sad
Castlevania_ Legacy of Darkness - Art Tower (aka Sinking Old Sanctuary),145.00003625000906,7/4,Piano,F#m,Sad
Chrono Trigger - Chrono Trigger Theme,130.00013000013,4/4,Violin,G,Sad
Chrono Trigger - Sad Theme,80.0,4/4,Piano,F,Sad
clearday,Unknown,2/2,Voice;Piano;Piano,G,Sad
Cowboy Bebop - The Real Folk Blues,70.00007000007,4/4,Piano,A,Sad
cvs_05_prayer,78.000078000078,4/4,Voice;Voice,Unknown,Sad
Disgaea,140.00014000014,Unknown,Bells;Bells;Bells;Bells;Bells;Bells;Bells;Bells;Bells;Bells;Bells;Bells,Unknown,Sad
Dragon Ball Kai - Dragon Soul,100.0,4/4,Voice,C,Sad
ECHOES,110.00011000011,Unknown,Voice;Voice;Unknown;Voice;Unknown;Voice;Guitar;Unknown;Voice;Unknown;Piano,Unknown,Sad
Evangelion - Soul Death,132.000132000132,4/4,Voice;Piano;Piano;Piano,C,Sad
Evangelion - Yukino,60.99997255001235,4/4,Piano;Piano;Piano,C,Sad
FFX_-_Ending_Theme_(Piano_Version)_-_by_Angel_FF,63.000063000063,4/4,Piano;Piano,Unknown,Sad
Final Fantasy  - Final Fantasy Simphony,53.000022083342536,4/4,Flute;Voice;Voice;Voice;Voice;Violin;Voice;Violin;Voice;Voice;Voice;Violin;Violin;Violin;Violin;Piano,D,Sad
Final Fantasy - Chaos Temple,131.9531038668857,4/4,Piano;Piano,G,Sad
Final Fantasy VII - FullScale Attack,119.99928000431997,4/4,Piano,Cm,Sad
Final Fantasy XIII - Prelude to Final Fantasy XIII,71.9529715378029,4/4,Piano,Am,Sad
Final Fantasy XIII - The Promise,60.0,4/4,Piano,Unknown,Sad
Fruits Basket - Opening,130.00013000013,4/4,Piano,G,Sad
Full Metal Alchemist_ Brotherhood - The Fullmetal Alchemist,40.00002666668444,4/4,Piano,Bb,Sad
good-ending,80.0,4/4,Piano;Guitar;Piano;Voice,Unknown,Sad
Halo 2 - Unforgotten,86.48424257100356,3/4,Piano,Ab,Sad
Hokages_funeral,40.0,4/4,Piano;Piano;Piano;Piano;Voice;Voice;Voice;Voice;Violin;Violin,Unknown,Sad
ico,146.22982942290398,3/4,Flute;Piano;Bass;Other;Voice;Guitar;Bells;Guitar;Guitar;Guitar;Other;Other;Other;Flute,C,Sad
KH2DearlyBeloved,120.0,4/4,Reeds;Trumpet;Piano;Voice;Voice,C,Sad
Kingdom Hearts - Dearly Beloved,129.96014555536303,2/2,Piano,Eb,Sad
Kingdom Hearts II - Roxas,58.00004253336452,4/4,Piano;Piano,C,Sad
Kingdom Hearts_ Birth By Sleep - Ventuss Theme,109.98035017743497,4/4,Piano,E,Sad
Kingdom Hearts_ Chain of Memories - Namines Theme,64.47986777328448,3/4,Piano,Db,Sad
Mario Party 3 - Preparation for Adventure,99.96051559633945,4/4,Piano,C,Sad
Melody_of_Pandora,120.0,4/4,Other;Other;Voice;Voice,Unknown,Sad
MobileSuitGundamFederationVsZeon-ABaqaQu,136.0001450668214,4/4,Guitar;Unknown;Flute;Unknown;Flute;Voice;Other;Bells;Voice;Guitar;Violin;Piano;Voice;Voice;Other;Voice;Other;Piano;Guitar,F#m,Sad
Naruto - Darkness (Unreleased OST),69.99998833333528,4/4,Other;Other;Other;Other;Other;Other;Other;Other;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Piano;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Other;Other;Voice;Voice;Voice;Other;Other;Other;Other;Voice;Voice;Voice;Voice;Voice;Voice;Voice;Voice,Unknown,Sad
Naruto Shippuden - Akatsuki Theme,Unknown,4/4,Piano,Eb,Sad
Naruto Shippuden - Decision,Unknown,4/4,Piano,G,Sad
Naruto Shippuden - Declaration of a God(Pains Theme),59.999220010139865,4/4,Piano,G,Sad
Pirates Of The Caribbean - Davy Jones,80.0,Unknown,Unknown,Unknown,Sad
pso,106.00013780017915,6/8,Piano;Other;Piano;Piano;Other;Voice;Other;Other;Other;Other;Violin;Other;Flute;Flute;Flute;Piano;Bells;Piano;Other;Other;Piano,C,Sad
Sailor Moon - Death of Neptune,59.999220010139865,4/4,Piano,Em,Sad
Skyward_Sword_-_Ballad_of_Goddess,138.00019320027047,3/4,Flute;Reeds;Trumpet;Trumpet;Piano;Unknown;Piano;Bells;Bells;Violin;Piano;Voice;Voice;Voice;Voice,Dm,Sad
Super Smash Brothers - Fountain of Dreams - Arranged by Sinbios,160.0,4/4,Trumpet;Reeds;Unknown;Piano;Unknown;Voice;Voice;Flute;Piano;Trumpet;Trumpet;Violin;Violin;Violin,C,Sad
The Legend of Zelda A Link to the Past - Agahnim,190.48768020928247,2/2,Piano,C,Sad
The Legend of Zelda A Link to the Past - Church,59.999220010139865,4/4,Piano;Piano,Cm,Sad
The Legend of Zelda Majoras Mask - Elegy of Emptiness,59.999220010139865,4/4,Piano,C,Sad
The Legend of Zelda Oracle of Ages  Oracle of Seasons - House,79.97984507904008,3/4,Piano,C,Sad
The Witcher 2 - Assassins of Kings,66.00013860029107,6/8,Piano,Bm,Sad
Utena - Aphrodite of Death,57.47974318050747,4/4,Piano,Am,Sad
Utena - Hikarisasu Niwa - Sunlit Garden,96.0,4/4,Piano;Piano;Piano,C,Sad
Utena - Invisible Roses,95.97573733360207,4/4,Piano,Am,Sad
Utena - Pessimism,70.00007000007,4/4,Piano,Unknown,Sad
VioletEvergardenOP,73.00007178340392,Unknown,Guitar;Guitar;Guitar,Unknown,Sad
Your Lie in April - Watashi no Uso (NKD).mid,89.00004005001803,4/4,Piano,Unknown,Sad
Zelda - Legend of Zelda - Bolero of Fire - Arranged by Sinbios,120.0,4/4,Flute,C,Sad
6-30_endingseq,60.0,4/4,Flute;Reeds;Trumpet;Trumpet;Bells;Violin;Voice;Violin;Voice;Voice;Voice;Voice;Voice;Other,F#,Victory
88fenics,128.49506578947367,4/4,Bass;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Trumpet;Piano;Voice;Voice;Unknown;Voice;Violin;Piano,F,Victory
